theta2_nom_deg,longest_stride_mm @ width 45.8800,binding_bar @ width 45.8800,longest_stride_mm @ width 45.3800,binding_bar @ width 45.3800,longest_stride_mm @ width 51.0000,binding_bar @ width 51.0000,longest_stride_mm @ width 56.0000,binding_bar @ width 56.0000,d29_closest_links @ width 45.8800,d29_phase,"overshoot_budget_deg @ own stride, width 45.8800",shipped_60.0000_passes_torque_vertical_posed_coxa,"overshoot_budget_deg @ shipped 60.0000, width 45.8800","overshoot_budget_deg @ shipped 60.0000, width 45.3800","overshoot_budget_deg @ shipped 60.0000, width 51.0000","overshoot_budget_deg @ shipped 60.0000, width 56.0000",status
70.5000,38.6478,torque,38.6478,torque,38.6478,torque,38.6478,torque,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),7.3550,NO,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9)
71.0000,54.9084,torque,54.9084,torque,53.5777,D29,48.3567,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),1.4696,NO,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9)
71.5000,58.9759,D29,59.5051,D29,53.5864,D29,48.3646,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9)
72.0000,58.9858,D29,59.5152,D29,53.5949,D29,48.3723,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9)
72.5000,58.9955,D29,59.5250,D29,53.6033,D29,48.3799,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9)
73.0000,59.0050,D29,59.5347,D29,53.6115,D29,48.3873,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9)
73.5000,59.0143,D29,59.5442,D29,53.6196,D29,48.3946,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9)
74.0000,59.0235,D29,59.5535,D29,53.6274,D29,48.4017,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9)
74.5000,59.0324,D29,59.5626,D29,53.6352,D29,48.4087,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9)
75.0000,59.0412,D29,59.5715,D29,53.6427,D29,48.4155,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at pose (c); pose (b) pending (D437 cl.8); no pair (D431 cl.9)
