theta2_nom_deg,longest_stride_mm @ width 45.7700,binding_bar @ width 45.7700,longest_stride_mm @ width 45.1400,binding_bar @ width 45.1400,longest_stride_mm @ width 51.0000,binding_bar @ width 51.0000,longest_stride_mm @ width 56.0000,binding_bar @ width 56.0000,d29_closest_links @ width 45.7700,d29_phase,"overshoot_budget_deg @ own stride, width 45.7700",shipped_60.0000_passes_torque_vertical_posed_coxa,"overshoot_budget_deg @ shipped 60.0000, width 45.7700","overshoot_budget_deg @ shipped 60.0000, width 45.1400","overshoot_budget_deg @ shipped 60.0000, width 51.0000","overshoot_budget_deg @ shipped 60.0000, width 56.0000",status
70.5000,38.6478,torque,38.6478,torque,38.6478,torque,38.6478,torque,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),7.3961,NO,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
71.0000,54.9084,torque,54.9084,torque,53.5777,D29,48.3567,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),1.5115,NO,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
71.5000,59.0923,D29,59.7593,D29,53.5864,D29,48.3646,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
72.0000,59.1022,D29,59.7694,D29,53.5949,D29,48.3723,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
72.5000,59.1119,D29,59.7794,D29,53.6033,D29,48.3799,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
73.0000,59.1215,D29,59.7891,D29,53.6115,D29,48.3873,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
73.5000,59.1309,D29,59.7987,D29,53.6196,D29,48.3946,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
74.0000,59.1400,D29,59.8081,D29,53.6274,D29,48.4017,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
74.5000,59.1490,D29,59.8173,D29,53.6352,D29,48.4087,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
75.0000,59.1578,D29,59.8263,D29,53.6427,D29,48.4155,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
75.5000,59.1664,D29,59.8350,D29,53.6501,D29,48.4221,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
76.0000,59.1748,D29,59.8436,D29,53.6572,D29,48.4286,D29,"hand-over, pose (b): the four closing pairs tie",0.0 or 0.5 (hand-over),0.0000,yes,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,contact at zero overshoot,interim - width calibrated at 58.711 mm on the gait's hand-over pose; +/-0.15 mm near a boundary (D439 cl.3); no pair (D431 cl.9)
